rcode,pcode,year,month,exports_sa,imports_sa,rGDP,pGDP,bexrate,,,
GBR,ARG,2012,1,56694440.14,71007304.51,647966.44,572967.25,0.14980358,,,
GBR,ARG,2012,2,21675320.72,81411618.64,659926.88,570817.81,0.14567317,,,
GBR,ARG,2012,3,34070199.6,99948185.44,660968.31,575559.69,0.14579347,,,
GBR,ARG,2012,4,78212273.32,104430911.4,668906.69,573558.75,0.14272775,,,
GBR,ARG,2012,5,47741789.33,64111645.55,671151.69,580938.13,0.14176965,,,
GBR,ARG,2012,6,44931192.38,100246146.7,661749.25,586460,0.14289701,,,
GBR,ARG,2012,7,42530434.32,110560713.1,668370.75,593357.31,0.14099251,,,
GBR,ARG,2012,8,51477529.05,68806741.67,674364.38,600360.69,0.13864151,,,
GBR,ARG,2012,9,50391108.11,77676754.13,692458.63,604691.56,0.13340595,,,
GBR,ARG,2012,10,45311186.84,66184907.57,691685.19,608938.5,0.13198766,,,
GBR,ARG,2012,11,37173608.62,64315532.25,688198.13,611132.88,0.13075231,,,
GBR,ARG,2012,12,47490113.7,68986027.33,670056.31,614334.63,0.13263348,,8055802.65,
GBR,ARG,2013,1,43767592.38,83342764.04,691273.94,616411.31,0.1267882,,,
GBR,ARG,2013,2,35740028.42,51733565.87,671910.38,620646.25,0.12941009,,,
GBR,ARG,2013,3,47160216.32,69458889.01,655976.38,622322.44,0.13099813,,,
GBR,ARG,2013,4,41248081.06,28453693.62,667388.25,623089.88,0.12709655,,,
GBR,ARG,2013,5,63211863.96,96283822.42,671846.06,628295.38,0.12515023,,,
GBR,ARG,2013,6,43755221.97,79201972.36,684647.56,631375.31,0.12137987,,,
GBR,ARG,2013,7,43590923.16,66126567.04,674946.75,632789.06,0.12142464,,,
GBR,ARG,2013,8,57035643.93,74834669.8,690120.13,633341,0.11604265,,,
GBR,ARG,2013,9,35395476.84,86087446.74,708640.69,631928.38,0.11016107,,,
GBR,ARG,2013,10,43071306.17,95966368.59,720765.56,635936,0.10655323,,,
GBR,ARG,2013,11,43732570.79,95744645.3,723164.25,640713.88,0.10368476,,,
GBR,ARG,2013,12,31938367.11,84622149.73,739867.94,631353.19,0.096890673,,,
GBR,ARG,2014,1,43812271.73,94052896.45,747716.25,582121.56,0.085864887,,,
GBR,ARG,2014,2,47210919.41,70241221.18,744186.5,543009.44,0.078649208,,,
GBR,ARG,2014,3,42248958.28,61724149.81,762049.44,551666.94,0.076315366,,,
GBR,ARG,2014,4,66049431.89,65867868.72,771107.25,561618.06,0.075144231,,,
GBR,ARG,2014,5,37252612.36,79459588.75,778555.56,567853.63,0.074248709,,,
GBR,ARG,2014,6,41270447.42,93051665.61,783302.25,571178.56,0.073260128,,,
GBR,ARG,2014,7,34470377.62,38539795.57,784603.69,576793.69,0.072909668,,,
GBR,ARG,2014,8,31107187.45,72280252.97,776327.63,580997.19,0.072410375,,,
GBR,ARG,2014,9,34760383.29,93875304.36,757616.94,588373.19,0.073349133,,,
GBR,ARG,2014,10,38701382.19,61335162.38,747017.5,599254.06,0.074001871,,,
GBR,ARG,2014,11,36484956.86,56891905.85,745255.63,603423.31,0.073848203,,,
GBR,ARG,2014,12,34161526.56,106397098.6,732818,608104.75,0.074840657,,,
GBR,ARG,2015,1,29527754.58,62078595.28,712811.81,612301.94,0.076621033,,,
GBR,ARG,2015,2,32098941.83,84880370.69,720199.88,619542.44,0.075534463,,,
GBR,ARG,2015,3,41936506.84,51255251.4,707731.38,625481.81,0.076422937,,,
GBR,ARG,2015,4,37040807.74,67047182.5,710133.88,632533.06,0.075882807,,,
GBR,ARG,2015,5,36270133.12,55838597.66,735463.44,645275,0.072596967,,,
GBR,ARG,2015,6,37233785.46,62584090.32,739390.75,653836.81,0.071126051,,,
GBR,ARG,2015,7,34965479.7,85288923.27,739788.19,668087.5,0.0706646,,,
GBR,ARG,2015,8,33797786.25,86949701.17,743198.13,676807.69,0.069671862,,,
GBR,ARG,2015,9,36000067.18,71931420.15,732522.81,683743.19,0.069860898,,,
GBR,ARG,2015,10,27876234.35,87761106.12,723063.19,690457.75,0.069955587,,,
GBR,ARG,2015,11,53688622.54,84221888.32,730595.63,703210.19,0.068597317,,,
GBR,ARG,2015,12,35298078.06,75729990.06,723684.31,607100.88,0.058222201,,,
GBR,ARG,2016,1,36371919.78,64295818.8,698905.94,527815.94,0.051089477,,,
GBR,ARG,2016,2,36732052.77,60214737.32,695600.25,502211.34,0.047344748,,,
GBR,ARG,2016,3,30347635.54,88030933.81,694354.19,513141,0.047028363,,,
GBR,ARG,2016,4,27794826.78,70025822.54,700467.06,550247,0.048560649,,,
GBR,ARG,2016,5,30523768.79,76027413.16,712976.69,568147.13,0.048749611,,,
GBR,ARG,2016,6,24664320.2,68164280.41,699039.88,573276.06,0.049658202,,,
GBR,ARG,2016,7,35656838.31,60658728.47,649252.69,553626.13,0.051114697,,,
GBR,ARG,2016,8,31117980.52,72820164.5,650687.56,569308.69,0.051385649,,,
GBR,ARG,2016,9,29551175.19,65771223.26,655045.94,572923.56,0.050358888,,,
GBR,ARG,2016,10,37089570.7,65518823.14,618203.5,584331.38,0.053384107,,,
GBR,ARG,2016,11,38330592.45,73473014.93,624902.69,586629.31,0.052434631,,,
GBR,ARG,2016,12,39833725.26,66223472.44,630324.94,580212.75,0.050857686,,,
GBR,ARG,2017,1,31598367.79,75820537.61,621867.13,581882.38,0.051147029,,,
GBR,ARG,2017,2,32447045.52,81866878.73,632670.94,608722.31,0.051362716,,,
GBR,ARG,2017,3,30345948.19,86290034.99,625859.88,626979.13,0.052260414,,,
GBR,ARG,2017,4,38994802.57,96420504.52,642106.13,648978.13,0.051554188,,,
GBR,ARG,2017,5,38656825.72,69766996.97,658280.44,641790.69,0.049160328,,,
GBR,ARG,2017,6,41085096.34,69813211.07,652876.44,634757.5,0.048470221,,,
GBR,ARG,2017,7,40451373.94,63268533.24,663663.63,602626.5,0.044764802,,,
GBR,ARG,2017,8,41016492.67,60912809.44,664170,598834,0.044293761,,,
GBR,ARG,2017,9,43444418.1,64933601.6,684868.75,608780.38,0.043517284,,,
GBR,ARG,2017,10,37847676.01,75394931.32,680683.06,604847.88,0.043352786,,,
GBR,ARG,2017,11,28933396.42,69423329.94,682738.06,610899.75,0.043311276,,,
GBR,ARG,2017,12,39068343.43,90645979.46,694897.75,609196.13,0.042105291,,,
GBR,AUS,2012,1,556835888.9,558405303.6,647966.44,387637.84,0.66901314,,,
GBR,AUS,2012,2,501767634.4,794066094.2,659926.88,402369.09,0.67887491,,,
GBR,AUS,2012,3,573204910.2,641522150.6,660968.31,397432.44,0.66658223,,,
GBR,AUS,2012,4,486007698.5,723951271.7,668906.69,391723.47,0.64640558,,,
GBR,AUS,2012,5,669991922.9,414154475.8,671151.69,378834.75,0.6279096,,,
GBR,AUS,2012,6,473501386,501169015.8,661749.25,378536.06,0.64125133,,,
GBR,AUS,2012,7,527337645.4,301527160.8,668370.75,390659.06,0.66025442,,,
GBR,AUS,2012,8,594159984.7,632018479.4,674364.38,397742.16,0.66624939,,,
GBR,AUS,2012,9,567747528,942047006,692458.63,395343.19,0.64492512,,,
GBR,AUS,2012,10,567317716.8,675807744.5,691685.19,392130.81,0.64039862,,,
GBR,AUS,2012,11,595783150.4,446876656.6,688198.13,397800.81,0.65202862,,,
GBR,AUS,2012,12,607899795.7,638991602.5,670056.31,401257.69,0.67455405,,,
GBR,AUS,2013,1,541897202.8,496029174.9,691273.94,403995.94,0.6573934,,,
GBR,AUS,2013,2,455805795.1,333930491.4,671910.38,398609.03,0.66668314,,,
GBR,AUS,2013,3,514398990.2,254962137.3,655976.38,400543,0.68553925,,,
GBR,AUS,2013,4,490190150.7,303141150,667388.25,403879.28,0.6787886,,,
GBR,AUS,2013,5,473770521,239614382.3,671846.06,387080.88,0.64816505,,,
